	PTGS2	LIF	HSF2	LRPPRC	PRKAG1	PRKAG2	CPE	HYLS1	IL6ST	AKT1	ME1	CAV1	IL12RB1	FNDC5	RORC	ADRA2A	ADRA2B	ADRA2C	DMTF1	ERBB2	IGF1R	SHC1	SP1	TAS2R16	SP3	F2	PELP1	GATA2	BMP7	PYY	BMP5	GTF2F1	BMP2	FN1	CXCL9	APP	SYT5	GALR3	GALR2	GALR1	UTRN	NPY	FKBP1A	TRIP6	STC1	PTPN11	NGF	ACOX1	CDKN1B	GAB2	TAS2R3	TOMM20	CRK	SMURF1	IL6	CDC16	CHD7	CHD9	JUN	PPARGC1A	CCL28	HRH4	HRH3	NR5A1	CCL21	CCL20	NKX2-5	CCL25	CCL27	SIRT3	EHMT1	G0S2	IL4R	RORB	PPARG	IGFBP1	IGFBP7	PPARA	MTNR1B	MTNR1A	FTO	IRF3	GJA1	IRF1	APLNR	IRF6	IRF5	IRF4	MED13L	HNF4G	HNF4A	ITGAV	INS	KRT17	MGP	NRF1	YY1	SMAD9	SESN2	GHRL	SMAD4	SMAD7	SMAD1	RETN	FST	RORA	KRT5	GNAI3	GNAI1	CNR1	FCER1G	CNR2	FCER1A	SOSTDC1	ALAS1	CITED2	TAS2R39	C10orf10	IRF2	ACSS1	UBE2D1	IL6R	NPY2R	TGS1	MTOR	POMC	ACHE	GAB1	IL2RA	IL2RB	NMU	NMS	IL2RG	TAS2R4	TAS2R5	IRS1	TAS2R1	LEP	LPAR2	NTRK1	SMARCE1	PLAUR	PRKAA2	PRKAA1	INSR	IRF7	SORBS1	NR1D1	NR1D2	CDK19	ARHGDIB	FPR1	FPR2	NR3C1	FPR3	GLIPR1	EBF1	UCP1	UCP2	UCP3	GNG2	P2RY4	CIDEA	NRIP1	ACKR3	SRA1	PTPRA	TNFRSF1A
CCL25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	-1	0	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	-1	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	-1	1.11111111111	-1	-1	-1
CCL27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	-1	1.11111111111	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	-1	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	-1	1.11111111111	-1	-1	-1
SIRT3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	3.4965034965	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
EHMT1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.27868852459	-1	-1	-1	-1	-1	-1	-1	-1	6.02409638554	-1	4.80769230769	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.25531914894	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	3.34448160535	3.34448160535	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.4965034965	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	4.18410041841	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6.53594771242	6.53594771242	4.80769230769	-1	-1	-1	-1	2.33644859813	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
G0S2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
IL4R	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.7667844523	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	1.11111111111	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
RORB	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1.11111111111	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
PPARG	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	1.11111111111	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	0	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	1.73611111111	1.73611111111	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	-1	-1	1.73611111111	-1	-1	1.11111111111	1.25	1.25	1.25	-1	-1	-1	1.7667844523	-1	-1	-1	1.11111111111
IGFBP1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
IGFBP7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
PPARA	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	1.25	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	1.11111111111	1.11111111111	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.25	-1	-1	1.11111111111	-1	-1	-1	-1	1.25	-1	-1	1.25	1.25	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.25	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	1.25	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	-1	-1	-1	-1	-1	1.11111111111	-1	1.25	1.25	1.25	-1	-1	-1	1.11111111111	-1	1.11111111111	-1	-1
MTNR1B	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1.11111111111	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	-1	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	-1	1.11111111111	-1	-1	-1
MTNR1A	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	0	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	-1	-1	1.11111111111	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	1.11111111111	-1	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	1.11111111111	-1	-1	-1	-1	-1	1.11111111111	1.11111111111	-1	-1	1.11111111111	-1	-1	-1
FTO	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
